name, nominal_resolution_km, year, source_id, location, institute, difference_note, CMIP6, esgf_available, data_node_available, scenarios, num_scenarios_dominating, num_ensemble_members, ensemble_members_dominating, note_scenarios, mon_frequency, link
ACCESS, 250, 2019, ACCESS-CM2, Australia, "Australian Community Climate and Earth System Simulator", "different atmo model", True, True, True, ssp126 ssp245 ssp370 ssp534-over ssp585, 4, 5 5 5 1 5, 5, nan, True, "https://www.publish.csiro.au/es/es19040"
ACCESS, 250, 2019, ACCESS-ESM1-5, Australia, "Australian Community Climate and Earth System Simulator", "different atmo model", True, True, True, ssp126 ssp245 ssp370 ssp534-over ssp585, 4, 40 40 40 12 40, 40, nan, True, "https://www.publish.csiro.au/es/ES19035"
AWI, 100, 2018, AWI-CM-1-1-MR, Germany, "Alfred-Wegner Institute", "different res", True, True, True, ssp126 ssp245 ssp370 ssp585, 4, 1 1 5 1, 1, nan, True, "https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2019MS002009"
BCC, 100, 2017, BCC-CSM2-MR, China, "Beijing Climate Center", nan, True, True, True, ssp126 ssp245 ssp370 ssp585, 4, 1 1 1 1, 1, nan, True, "https://gmd.copernicus.org/articles/14/2977/2021/"
CAMS, 100, 2016, CAMS-CSM1-0, China, "Chinese Academy of Meteorlogical Sciences", nan, True, True, True, ssp119 ssp126 ssp245 ssp370 ssp585, 5, 2 2 2 2 2, 2, nan, True, "http://www.climatechange.cn/EN/10.12006/j.issn.1673-1719.2019.186"
CanESM, 500, 2019, CanESM5, Canada, "Canadian Centre for Climate Modelling and Analysis", "usual one", True, True, True, ssp119 ssp126 ssp245 ssp370 ssp434 ssp460 ssp534-over ssp585, 5, 50 50 50 50 5 5 5 50, 50, nan, True, "https://gmd.copernicus.org/articles/12/4823/2019/"
CanESM, 500, 2019, CanESM5-CanOE, Canada, "Canadian Centre for Climate Modelling and Analysis", "different ocean model", True, True, True, ssp126 ssp245 ssp370 ssp585, 4, 3 3 3 3, 3, nan, True, "https://gmd.copernicus.org/articles/12/4823/2019/"
CasESM, 100, 2019, CAS-ESM2-0, China, "Chinese Academy of Sciences", nan, True, True, True, ssp126 ssp245 ssp370 ssp585, 4, 2 2 2 2, 2, nan, True, "http://www.jfdc.cnic.cn/EN/abstract/abstract32.shtml"
CESM, 100, 2018, CESM2, USA, "National Center for Atmospheric Research", "different atmo model", True, True, True, ssp126 ssp245 ssp370 ssp585, 4, 3 3 3 3, 3, nan, True, "https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2019MS001916"
CESM, 100, 2018, CESM2-WACCM, USA, "National Center for Atmospheric Research", "different atmo model", True, True, True, ssp126 ssp245 ssp370 ssp534-over ssp585, 4, 1 5 3 3 5, nan, nan, True, "https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2019MS001916"
CIESM, 100, 2017, CIESM, China, "Tsinghua University", "Community integrated model. Not named in other list. double check what this is", True, True, False, ssp126 ssp245 ssp585, 3, 1 1 1, 1, nan, True, "https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2019MS002036"
CMCC, 100, 2016, CMCC-CM2-SR5, Italy, "Euro-Mediterranean Centre on Climate Change", "not sure what the difference is", True, True, True, ssp126 ssp245 ssp370 ssp585, 4, 1 1 1 1, 1, nan, True, "https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2018MS001369"
CMCC, 100, 2017, CMCC-ESM2, Italy, "Euro-Mediterranean Centre on Climate Change", "not sure what the difference is", True, True, True, ssp126 ssp245 ssp370 ssp534-over ssp585, 5, 1 1 1 1 1, 1, nan, True, "https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2021MS002814"
CNRM, 250, 2017, CNRM-CM6-1, France, "Centre National de Recherches Météorologiques", "different aerosol model?", True, True, True, ssp126 ssp245 ssp370 ssp585, 4, 6 10 6 6, 6, nan, True, "https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2019MS001683"
CNRM, 100, 2017, CNRM-CM6-1-HR, France, "Centre National de Recherches Météorologiques", "different aerosol model?", True, True, True, ssp126 ssp245 ssp370 ssp585, 4, 1 1 1 1, 1, nan, True, "https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2019MS001683"
CNRM, 250, 2017, CNRM-ESM2-1, France, "Centre National de Recherches Météorologiques", "different aerosol model?", True, True, True, ssp119 ssp126 ssp245 ssp370 ssp434 ssp460 ssp534-over ssp585, 8, 5 5 10 5 5 5 5 5, 5, nan, True, "https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2019MS001791"
E3SM, 100, 2018, E3SM-1-0, USA, "Energy Exascale US Department of Energy", "older version", True, True, True, ssp585, 1, 5, 5, nan, True, "https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2018MS001603"
E3SM, 100, 2019, E3SM-1-1, USA, "Energy Exascale US Department of Energy", "not sure what the differences are", True, True, True, ssp245 ssp585, 2, 1 10, nan, nan, True, "https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2018MS001603"
E3SM, 100, 2019, E3SM-1-1-ECA, USA, "Energy Exascale US Department of Energy", "not sure what the differences are", True, True, True, ssp585, 1, 1, 1, nan, True, "https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2018MS001603"
EC-Earth, 100, 2019, EC-Earth3, Europe, "European Centre for Medium-Range Weather Forecasts", "not sure what the differences are", True, True, False, ssp119 ssp126 ssp245 ssp370 ssp434 ssp460 ssp534-over ssp585, 8, 52 57 97 57 50 50 50 58, 57, nan, True, "https://gmd.copernicus.org/articles/15/2973/2022/"
EC-Earth, 100, 2019, EC-Earth3-AerChem, Europe, "European Centre for Medium-Range Weather Forecasts", "not sure what the differences are", True, True, True, ssp370, 1, 3, 3, nan, True, "https://gmd.copernicus.org/articles/15/2973/2022/"
EC-Earth, 100, 2019, EC-Earth3-CC, Europe, "European Centre for Medium-Range Weather Forecasts", "not sure what the differences are", True, True, True, ssp245 ssp585, 2, 10 1, nan, nan, True, "https://gmd.copernicus.org/articles/15/2973/2022/"
EC-Earth, 100, 2019, EC-Earth3-Veg, Europe, "European Centre for Medium-Range Weather Forecasts", "veggie high res", True, True, False, ssp119 ssp126 ssp245 ssp370 ssp585, 5, 3 7 8 6 8, nan, nan, True, https://gmd.copernicus.org/articles/15/2973/2022/"
EC-Earth, 250, 2019, EC-Earth3-Veg-LR, Europe, "European Centre for Medium-Range Weather Forecasts", "veggie low res", True, True, True, ssp119 ssp126 ssp245 ssp370 ssp585, 5, 3 3 3 3 3, 3, nan, True, "https://gmd.copernicus.org/articles/15/2973/2022/"
FGOALS, 100, 2017, FGOALS-f3-L, China, "Multiple (3) institutes in China", nan, True, True, True, ssp126 ssp245 ssp370 ssp585, 4, 1 1 1 1, 1, nan, True, "https://link.springer.com/article/10.1007/s00376-019-9027-8"
FGOALS, 250, 2017, FGOALS-g3, China, "Multiple (3) institutes in China", nan, True, True, True, ssp119 ssp126 ssp245 ssp370 ssp434 ssp460 ssp534-over ssp585, 8, 1 4 4 5 1 1 1 4, 4, "the most important 4 scenarios have 4 runs", True, "https://link.springer.com/article/10.1007/s00376-020-2032-0"
FIO, 100, 2018, FIO-ESM-2-0, China, "First Institute of Oceanographiy Earth System Model", nan, True, True, True, ssp126 ssp245 ssp585, 3, 3 3 3, 3, nan, True, "https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2019JC016036"
GFDL, 100, 2018, GFDL-ESM4, USA, "National Oceanic and Atmospheric Administration", "different atmo model", True, True, True, ssp119 ssp126 ssp245 ssp370 ssp585, 5, 1 1 3 1 1, 1, nan, True, "https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2019MS002015"
GISS, 250, 2019, GISS-E2-1-G, USA, "National Oceanic and Atmospheric Administration", "G/H -> different ocean models. numbers -> different atmo models", True, True, True, ssp119 ssp126 ssp245 ssp370 ssp434 ssp460 ssp534-over ssp585, 8, 7 16 36 27 7 8 11 15, nan, nan, True, "https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2019MS002025"
GISS, 250, 2019, GISS-E2-1-G-CC, USA, "National Oceanic and Atmospheric Administration", "G/H -> different ocean models. numbers -> different atmo models", True, True, True, ssp126 ssp245 ssp460 ssp585-bgc, 3, 1 1 1 1, 1, nan, True, "https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2019MS002025"
GISS, 250, 2019, GISS-E2-1-H, USA, "National Oceanic and Atmospheric Administration", "G/H -> different ocean models. numbers -> different atmo models", True, True, True, ssp119 ssp126 ssp245 ssp370 ssp434 ssp460 ssp534-over ssp585, 8, 2 10 10 6 2 2 6 10, nan, "the most important 4 scenarios have at least 6 runs", True, "https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2019MS002025"
