tags,val/llrmse_climax,test/ssp245_AWI-CM-1-1-MR/pr/llrmse_climax,test/ssp245_AWI-CM-1-1-MR/tas/llrmse_climax,test/ssp245_AWI-CM-1-1-MR/llrmse_climax,test/ssp245_BCC-CSM2-MR/pr/llrmse_climax,test/ssp245_BCC-CSM2-MR/tas/llrmse_climax,test/ssp245_BCC-CSM2-MR/llrmse_climax,test/ssp245_CAS-ESM2-0/pr/llrmse_climax,test/ssp245_CAS-ESM2-0/tas/llrmse_climax,test/ssp245_CAS-ESM2-0/llrmse_climax,test/ssp245_CNRM-CM6-1-HR/pr/llrmse_climax,test/ssp245_CNRM-CM6-1-HR/tas/llrmse_climax,test/ssp245_CNRM-CM6-1-HR/llrmse_climax,test/ssp245_EC-Earth3/pr/llrmse_climax,test/ssp245_EC-Earth3/tas/llrmse_climax,test/ssp245_EC-Earth3/llrmse_climax,test/ssp245_EC-Earth3-Veg-LR/pr/llrmse_climax,test/ssp245_EC-Earth3-Veg-LR/tas/llrmse_climax,test/ssp245_EC-Earth3-Veg-LR/llrmse_climax,test/ssp245_FGOALS-f3-L/pr/llrmse_climax,test/ssp245_FGOALS-f3-L/tas/llrmse_climax,test/ssp245_FGOALS-f3-L/llrmse_climax,test/ssp245_GFDL-ESM4/pr/llrmse_climax,test/ssp245_GFDL-ESM4/tas/llrmse_climax,test/ssp245_GFDL-ESM4/llrmse_climax,test/ssp245_INM-CM4-8/pr/llrmse_climax,test/ssp245_INM-CM4-8/tas/llrmse_climax,test/ssp245_INM-CM4-8/llrmse_climax,test/ssp245_INM-CM5-0/pr/llrmse_climax,test/ssp245_INM-CM5-0/tas/llrmse_climax,test/ssp245_INM-CM5-0/llrmse_climax,test/ssp245_MPI-ESM1-2-HR/pr/llrmse_climax,test/ssp245_MPI-ESM1-2-HR/tas/llrmse_climax,test/ssp245_MPI-ESM1-2-HR/llrmse_climax,test/ssp245_MRI-ESM2-0/pr/llrmse_climax,test/ssp245_MRI-ESM2-0/tas/llrmse_climax,test/ssp245_MRI-ESM2-0/llrmse_climax,test/ssp245_NorESM2-LM/pr/llrmse_climax,test/ssp245_NorESM2-LM/tas/llrmse_climax,test/ssp245_NorESM2-LM/llrmse_climax,test/ssp245_NorESM2-MM/pr/llrmse_climax,test/ssp245_NorESM2-MM/tas/llrmse_climax,test/ssp245_NorESM2-MM/llrmse_climax,test/ssp245_TaiESM1/pr/llrmse_climax,test/ssp245_TaiESM1/tas/llrmse_climax,test/ssp245_TaiESM1/llrmse_climax,test/ssp245_AWI-CM-1-1-MR/pr/mse,test/ssp245_AWI-CM-1-1-MR/tas/mse,test/ssp245_AWI-CM-1-1-MR/mse,test/ssp245_BCC-CSM2-MR/pr/mse,test/ssp245_BCC-CSM2-MR/tas/mse,test/ssp245_BCC-CSM2-MR/mse,test/ssp245_CAS-ESM2-0/pr/mse,test/ssp245_CAS-ESM2-0/tas/mse,test/ssp245_CAS-ESM2-0/mse,test/ssp245_CNRM-CM6-1-HR/pr/mse,test/ssp245_CNRM-CM6-1-HR/tas/mse,test/ssp245_CNRM-CM6-1-HR/mse,test/ssp245_EC-Earth3/pr/mse,test/ssp245_EC-Earth3/tas/mse,test/ssp245_EC-Earth3/mse,test/ssp245_EC-Earth3-Veg-LR/pr/mse,test/ssp245_EC-Earth3-Veg-LR/tas/mse,test/ssp245_EC-Earth3-Veg-LR/mse,test/ssp245_FGOALS-f3-L/pr/mse,test/ssp245_FGOALS-f3-L/tas/mse,test/ssp245_FGOALS-f3-L/mse,test/ssp245_GFDL-ESM4/pr/mse,test/ssp245_GFDL-ESM4/tas/mse,test/ssp245_GFDL-ESM4/mse,test/ssp245_INM-CM4-8/pr/mse,test/ssp245_INM-CM4-8/tas/mse,test/ssp245_INM-CM4-8/mse,test/ssp245_INM-CM5-0/pr/mse,test/ssp245_INM-CM5-0/tas/mse,test/ssp245_INM-CM5-0/mse,test/ssp245_MPI-ESM1-2-HR/pr/mse,test/ssp245_MPI-ESM1-2-HR/tas/mse,test/ssp245_MPI-ESM1-2-HR/mse,test/ssp245_MRI-ESM2-0/pr/mse,test/ssp245_MRI-ESM2-0/tas/mse,test/ssp245_MRI-ESM2-0/mse,test/ssp245_NorESM2-LM/pr/mse,test/ssp245_NorESM2-LM/tas/mse,test/ssp245_NorESM2-LM/mse,test/ssp245_NorESM2-MM/pr/mse,test/ssp245_NorESM2-MM/tas/mse,test/ssp245_NorESM2-MM/mse,test/ssp245_TaiESM1/pr/mse,test/ssp245_TaiESM1/tas/mse,test/ssp245_TaiESM1/mse,test/ssp245_AWI-CM-1-1-MR/pr/rmse,test/ssp245_AWI-CM-1-1-MR/tas/rmse,test/ssp245_AWI-CM-1-1-MR/rmse,test/ssp245_BCC-CSM2-MR/pr/rmse,test/ssp245_BCC-CSM2-MR/tas/rmse,test/ssp245_BCC-CSM2-MR/rmse,test/ssp245_CAS-ESM2-0/pr/rmse,test/ssp245_CAS-ESM2-0/tas/rmse,test/ssp245_CAS-ESM2-0/rmse,test/ssp245_CNRM-CM6-1-HR/pr/rmse,test/ssp245_CNRM-CM6-1-HR/tas/rmse,test/ssp245_CNRM-CM6-1-HR/rmse,test/ssp245_EC-Earth3/pr/rmse,test/ssp245_EC-Earth3/tas/rmse,test/ssp245_EC-Earth3/rmse,test/ssp245_EC-Earth3-Veg-LR/pr/rmse,test/ssp245_EC-Earth3-Veg-LR/tas/rmse,test/ssp245_EC-Earth3-Veg-LR/rmse,test/ssp245_FGOALS-f3-L/pr/rmse,test/ssp245_FGOALS-f3-L/tas/rmse,test/ssp245_FGOALS-f3-L/rmse,test/ssp245_GFDL-ESM4/pr/rmse,test/ssp245_GFDL-ESM4/tas/rmse,test/ssp245_GFDL-ESM4/rmse,test/ssp245_INM-CM4-8/pr/rmse,test/ssp245_INM-CM4-8/tas/rmse,test/ssp245_INM-CM4-8/rmse,test/ssp245_INM-CM5-0/pr/rmse,test/ssp245_INM-CM5-0/tas/rmse,test/ssp245_INM-CM5-0/rmse,test/ssp245_MPI-ESM1-2-HR/pr/rmse,test/ssp245_MPI-ESM1-2-HR/tas/rmse,test/ssp245_MPI-ESM1-2-HR/rmse,test/ssp245_MRI-ESM2-0/pr/rmse,test/ssp245_MRI-ESM2-0/tas/rmse,test/ssp245_MRI-ESM2-0/rmse,test/ssp245_NorESM2-LM/pr/rmse,test/ssp245_NorESM2-LM/tas/rmse,test/ssp245_NorESM2-LM/rmse,test/ssp245_NorESM2-MM/pr/rmse,test/ssp245_NorESM2-MM/tas/rmse,test/ssp245_NorESM2-MM/rmse,test/ssp245_TaiESM1/pr/rmse,test/ssp245_TaiESM1/tas/rmse,test/ssp245_TaiESM1/rmse,test/ssp245_AWI-CM-1-1-MR/pr/llrmse_wheather_bench,test/ssp245_AWI-CM-1-1-MR/tas/llrmse_wheather_bench,test/ssp245_AWI-CM-1-1-MR/llrmse_wheather_bench,test/ssp245_BCC-CSM2-MR/pr/llrmse_wheather_bench,test/ssp245_BCC-CSM2-MR/tas/llrmse_wheather_bench,test/ssp245_BCC-CSM2-MR/llrmse_wheather_bench,test/ssp245_CAS-ESM2-0/pr/llrmse_wheather_bench,test/ssp245_CAS-ESM2-0/tas/llrmse_wheather_bench,test/ssp245_CAS-ESM2-0/llrmse_wheather_bench,test/ssp245_CNRM-CM6-1-HR/pr/llrmse_wheather_bench,test/ssp245_CNRM-CM6-1-HR/tas/llrmse_wheather_bench,test/ssp245_CNRM-CM6-1-HR/llrmse_wheather_bench,test/ssp245_EC-Earth3/pr/llrmse_wheather_bench,test/ssp245_EC-Earth3/tas/llrmse_wheather_bench,test/ssp245_EC-Earth3/llrmse_wheather_bench,test/ssp245_EC-Earth3-Veg-LR/pr/llrmse_wheather_bench,test/ssp245_EC-Earth3-Veg-LR/tas/llrmse_wheather_bench,test/ssp245_EC-Earth3-Veg-LR/llrmse_wheather_bench,test/ssp245_FGOALS-f3-L/pr/llrmse_wheather_bench,test/ssp245_FGOALS-f3-L/tas/llrmse_wheather_bench,test/ssp245_FGOALS-f3-L/llrmse_wheather_bench,test/ssp245_GFDL-ESM4/pr/llrmse_wheather_bench,test/ssp245_GFDL-ESM4/tas/llrmse_wheather_bench,test/ssp245_GFDL-ESM4/llrmse_wheather_bench,test/ssp245_INM-CM4-8/pr/llrmse_wheather_bench,test/ssp245_INM-CM4-8/tas/llrmse_wheather_bench,test/ssp245_INM-CM4-8/llrmse_wheather_bench,test/ssp245_INM-CM5-0/pr/llrmse_wheather_bench,test/ssp245_INM-CM5-0/tas/llrmse_wheather_bench,test/ssp245_INM-CM5-0/llrmse_wheather_bench,test/ssp245_MPI-ESM1-2-HR/pr/llrmse_wheather_bench,test/ssp245_MPI-ESM1-2-HR/tas/llrmse_wheather_bench,test/ssp245_MPI-ESM1-2-HR/llrmse_wheather_bench,test/ssp245_MRI-ESM2-0/pr/llrmse_wheather_bench,test/ssp245_MRI-ESM2-0/tas/llrmse_wheather_bench,test/ssp245_MRI-ESM2-0/llrmse_wheather_bench,test/ssp245_NorESM2-LM/pr/llrmse_wheather_bench,test/ssp245_NorESM2-LM/tas/llrmse_wheather_bench,test/ssp245_NorESM2-LM/llrmse_wheather_bench,test/ssp245_NorESM2-MM/pr/llrmse_wheather_bench,test/ssp245_NorESM2-MM/tas/llrmse_wheather_bench,test/ssp245_NorESM2-MM/llrmse_wheather_bench,test/ssp245_TaiESM1/pr/llrmse_wheather_bench,test/ssp245_TaiESM1/tas/llrmse_wheather_bench,test/ssp245_TaiESM1/llrmse_wheather_bench
"['AWI-CM-1-1-MR', 'climax', 'run2', 'single_emulator', 'tas+pr']",0.002,0.267,0.263,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056,0.054,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237,0.233,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229,0.225,0.454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['AWI-CM-1-1-MR', 'climax_frozen', 'run2', 'single_emulator', 'tas+pr']",0.002,0.321,0.316,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081,0.078,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.285,0.28,0.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.275,0.269,0.545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['AWI-CM-1-1-MR', 'conv_lstm', 'run2', 'single_emulator', 'tas+pr']",0.004,0.438,0.445,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145,0.148,0.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.381,0.385,0.766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,0.373,0.743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['AWI-CM-1-1-MR', 'run2', 'single_emulator', 'tas+pr', 'unet']",0.002,0.326,0.321,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.083,0.08,0.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.287,0.283,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273,0.268,0.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['BCC-CSM2-MR', 'climax', 'run2', 'single_emulator', 'tas+pr']",0.002,,,,0.229,0.205,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043,0.036,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208,0.19,0.398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.198,0.183,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['BCC-CSM2-MR', 'climax_frozen', 'run2', 'single_emulator', 'tas+pr']",0.002,,,,0.265,0.238,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061,0.051,0.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246,0.226,0.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.236,0.218,0.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['BCC-CSM2-MR', 'conv_lstm', 'run2', 'single_emulator', 'tas+pr']",0.002,,,,0.333,0.295,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.099,0.082,0.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.314,0.287,0.601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.303,0.277,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['BCC-CSM2-MR', 'run2', 'single_emulator', 'tas+pr', 'unet']",0.002,,,,0.258,0.232,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.057,0.048,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238,0.219,0.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226,0.209,0.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['CAS-ESM2-0', 'climax', 'run2', 'single_emulator', 'tas+pr']",0.002,,,,,,,0.226,0.226,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,0.045,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.213,0.213,0.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.206,0.206,0.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['CAS-ESM2-0', 'climax_frozen', 'run2', 'single_emulator', 'tas+pr']",0.002,,,,,,,0.276,0.272,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.068,0.066,0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.256,0.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252,0.249,0.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['CAS-ESM2-0', 'conv_lstm', 'run2', 'single_emulator', 'tas+pr']",0.003,,,,,,,0.394,0.393,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145,0.144,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.381,0.38,0.761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.369,0.369,0.739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['CAS-ESM2-0', 'run2', 'single_emulator', 'tas+pr', 'unet']",0.002,,,,,,,0.315,0.317,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.09,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273,0.274,0.548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['CNRM-CM6-1-HR', 'climax', 'run2', 'single_emulator', 'tas+pr']",0.002,,,,,,,,,,0.245,0.25,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051,0.053,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.227,0.23,0.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.222,0.225,0.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['CNRM-CM6-1-HR', 'climax_frozen', 'run2', 'single_emulator', 'tas+pr']",0.002,,,,,,,,,,0.286,0.289,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.069,0.07,0.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263,0.264,0.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.258,0.259,0.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['CNRM-CM6-1-HR', 'conv_lstm', 'run2', 'single_emulator', 'tas+pr']",0.003,,,,,,,,,,0.37,0.379,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.116,0.121,0.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.341,0.347,0.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333,0.339,0.672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['CNRM-CM6-1-HR', 'run2', 'single_emulator', 'tas+pr', 'unet']",0.002,,,,,,,,,,0.309,0.315,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081,0.083,0.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.285,0.288,0.573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.272,0.275,0.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['EC-Earth3', 'climax', 'run2', 'single_emulator', 'tas+pr']",0.002,,,,,,,,,,,,,0.241,0.24,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053,0.052,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229,0.227,0.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.224,0.221,0.445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['EC-Earth3', 'climax_frozen', 'run2', 'single_emulator', 'tas+pr']",0.002,,,,,,,,,,,,,0.292,0.287,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.075,0.073,0.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.274,0.27,0.544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.267,0.262,0.529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
