,name,id,tags,val/llmse_climax,dirs/ckpt_dir
1,TaiESM1_climax_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_22201seed_15h34m_on_Jan_09_0z5vgl7g,0z5vgl7g,"['TaiESM1', 'climax', 'run2', 'single_emulator', 'tas+pr']",0.07231005953094465,/network/scratch/c/charlotte.lange/neurips23/causalpaca/checkpoints/
5,NorESM2-MM_climax_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_3423seed_14h37m_on_Jan_09_wl2ahocy,wl2ahocy,"['NorESM2-MM', 'climax', 'run2', 'single_emulator', 'tas+pr']",0.08309854496492022,/network/scratch/c/charlotte.lange/neurips23/causalpaca/checkpoints/
7,MRI-ESM2-0_climax_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_22201seed_14h10m_on_Jan_09_y5e2d257,y5e2d257,"['MRI-ESM2-0', 'climax', 'run2', 'single_emulator', 'tas+pr']",0.07928496721164649,/network/scratch/c/charlotte.lange/neurips23/causalpaca/checkpoints/
9,MPI-ESM1-2-HR_climax_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_7seed_13h42m_on_Jan_09_mta612v4,mta612v4,"['MPI-ESM1-2-HR', 'climax', 'run2', 'single_emulator', 'tas+pr']",0.08607010490946382,/network/scratch/c/charlotte.lange/neurips23/causalpaca/checkpoints/
12,INM-CM5-0_climax_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_7seed_12h59m_on_Jan_09_1ks933go,1ks933go,"['INM-CM5-0', 'climax', 'run2', 'single_emulator', 'tas+pr']",0.07663501290685418,/network/scratch/c/charlotte.lange/neurips23/causalpaca/checkpoints/
15,INM-CM4-8_climax_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_7seed_12h18m_on_Jan_09_q2gpw6dp,q2gpw6dp,"['INM-CM4-8', 'climax', 'run2', 'single_emulator', 'tas+pr']",0.07273716783392083,/network/scratch/c/charlotte.lange/neurips23/causalpaca/checkpoints/
19,GFDL-ESM4_climax_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_22201seed_11h22m_on_Jan_09_9rjcis33,9rjcis33,"['GFDL-ESM4', 'climax', 'run2', 'single_emulator', 'tas+pr']",0.21105857716973797,/network/scratch/c/charlotte.lange/neurips23/causalpaca/checkpoints/
23,FGOALS-f3-L_climax_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_3423seed_10h26m_on_Jan_09_zm0y6jpv,zm0y6jpv,"['FGOALS-f3-L', 'climax', 'run2', 'single_emulator', 'tas+pr']",0.12636355193207646,/network/scratch/c/charlotte.lange/neurips23/causalpaca/checkpoints/
24,EC-Earth3-Veg-LR_climax_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_7seed_10h12m_on_Jan_09_c7kgooud,c7kgooud,"['EC-Earth3-Veg-LR', 'climax', 'run2', 'single_emulator', 'tas+pr']",0.1121791284615857,/network/scratch/c/charlotte.lange/neurips23/causalpaca/checkpoints/
28,EC-Earth3_climax_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_22201seed_09h17m_on_Jan_09_elftd7f1,elftd7f1,"['EC-Earth3', 'climax', 'run2', 'single_emulator', 'tas+pr']",0.1070805765027446,/network/scratch/c/charlotte.lange/neurips23/causalpaca/checkpoints/
31,CNRM-CM6-1-HR_climax_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_22201seed_08h35m_on_Jan_09_lcg83nsl,lcg83nsl,"['CNRM-CM6-1-HR', 'climax', 'run2', 'single_emulator', 'tas+pr']",0.11225119113131574,/network/scratch/c/charlotte.lange/neurips23/causalpaca/checkpoints/
34,CAS-ESM2-0_climax_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_22201seed_07h54m_on_Jan_09_n7zqz784,n7zqz784,"['CAS-ESM2-0', 'climax', 'run2', 'single_emulator', 'tas+pr']",0.08496462623945308,/network/scratch/c/charlotte.lange/neurips23/causalpaca/checkpoints/
37,BCC-CSM2-MR_climax_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_22201seed_07h13m_on_Jan_09_lh0or3hq,lh0or3hq,"['BCC-CSM2-MR', 'climax', 'run2', 'single_emulator', 'tas+pr']",0.08507559475759247,/network/scratch/c/charlotte.lange/neurips23/causalpaca/checkpoints/
39,AWI-CM-1-1-MR_climax_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_7seed_06h45m_on_Jan_09_yls3fm33,yls3fm33,"['AWI-CM-1-1-MR', 'climax', 'run2', 'single_emulator', 'tas+pr']",0.1199340909652706,/network/scratch/c/charlotte.lange/neurips23/causalpaca/checkpoints/
42,NorESM2-LM_climax_tas_run-02ClimaX_adamw_4bs_0.0005lr_1e-05wd_7seed_06h04m_on_Jan_09_yl98ae9t,yl98ae9t,"['NorESM2-LM', 'climax', 'run2', 'single_emulator', 'tas+pr']",0.08259431038193944,/network/scratch/c/charlotte.lange/neurips23/causalpaca/checkpoints/
64,superemulatorClimaX_adamw_2bs_0.0005lr_1e-05wd_42seed_13h48m_on_Aug_23_98btm9gj,98btm9gj,"['6_models', 'climax_frozen', 'decoder', 'deprecated', 'super_emulation']",0.2359453748494643,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
67,superemulatorClimaX_adamw_2bs_0.0005lr_1e-05wd_42seed_12h44m_on_Aug_23_lsomi49z,lsomi49z,"['6_models', 'climax', 'decoder', 'deprecated', 'super_emulation']",0.5749789960787136,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
53,superemulatorUNet_adam_2bs_0.0002lr_1e-06wd_99seed_16h39m_on_Aug_24_r54vb4a1,r54vb4a1,"['6_models', 'decoder', 'deprecated', 'super_emulation', 'unet']",0.14922693764608702,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
56,superemulatorCNNLSTM_ClimateBench_adam_2bs_0.0002lr_1e-06wd_99seed_16h30m_on_Aug_24_ugt2px5c,ugt2px5c,"['6_models', 'conv_lstm', 'decoder', 'deprecated', 'super_emulation']",0.20404330615916244,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
69,NorESM2-LM_FGOALS-f3-L_climax_tas+pr_run-01ClimaX_adamw_4bs_0.0005lr_1e-05wd_7seed_00h39m_on_Jun_13_7vpc42kb,7vpc42kb,"['NorESM2-LM_FGOALS-f3-L', 'climax', 'deprecated', 'finetuning_emulator', 'run1', 'tas+pr']",0.067731504660511,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
72,NorESM2-LM_BCC-CSM2-MR_climax_tas+pr_run-01ClimaX_adamw_4bs_0.0005lr_1e-05wd_7seed_00h00m_on_Jun_13_gfehpj1d,gfehpj1d,"['NorESM2-LM_BCC-CSM2-MR', 'climax', 'deprecated', 'finetuning_emulator', 'run1', 'tas+pr']",0.06831412674605833,/network/scratch/v/venkatesh.ramesh/causalpaca/emulator/checkpoints/
